,brgy,literacy_score,asset_score,water_score,food_score,home_score,income_score,total_score
38,43,0.3871407121407121,0.19207920792079208,0.3613861386138614,1.0,0.987623762376238,1.0,0.6547049701752673
39,44,0.4110360360360362,0.17333333333333314,0.8666666666666667,1.0,0.9755555555555558,0.9733333333333334,0.733320820820821
40,46,0.31681327222633004,0.2487427466150887,0.6228239845261122,0.9995164410058028,0.9626047711154104,0.9757374274661508,0.6877064404924824
41,47,0.38844488844488856,0.22404371584699476,0.2021857923497268,1.0,0.9908925318761388,0.978504098360656,0.6306785044797342
42,48,0.44,0.2363636363636365,0.15151515151515152,1.0,0.9949494949494948,1.0,0.6371380471380471
43,49,0.5179705215419501,0.2954545454545455,0.022727272727272728,1.0,1.0,0.9772727272727272,0.6355708444994159
44,50,0.3901785714285714,0.22857142857142865,0.17857142857142858,1.0,0.994047619047619,1.0,0.6318948412698412
45,51,0.3854931972789117,0.2230046948356822,0.29577464788732394,1.0,0.8597417840375599,0.9928600352112678,0.6261457265417909
46,52,0.22491582491582493,0.19999999999999987,0.8965517241379308,1.0,1.0,0.9877155172413792,0.7181971777158558
47,54,0.2785714285714285,0.31764705882352945,0.4705882352941176,1.0,0.6127450980392156,0.9963235294117648,0.6126458916900094
48,57,0.3629751461988303,0.23492063492063595,0.19365079365079368,1.0,0.858201058201058,0.9912896825396826,0.6068395525851668
49,58,0.3333333333333333,0.8,0.0,1.0,1.0,1.0,0.6888888888888888
50,61,0.3862920809349382,0.2542750929368044,0.28066914498141265,1.0,0.9395910780669171,0.9910141728624536,0.6419735949637543
51,62,0.4041726791726792,0.2626415094339632,0.19622641509433966,1.0,0.982389937106918,0.9963915094339624,0.6403036750403105
52,63,0.474787997390737,0.27942583732057485,0.2966507177033493,1.0,0.9194577352472084,0.9907296650717704,0.6601753254556068
53,64,0.3923481711525191,0.22133333333333455,0.32266666666666666,1.0,0.8384444444444445,0.9954956666666668,0.628381380377272
54,65,0.467280361757106,0.2866828087167086,0.2660977578298785,1.0,0.9332122679580324,0.9966253026634382,0.6583164164875273
55,66,0.3855168801869312,0.2473309608540937,0.3487544483985765,0.9999576342992712,0.9094009489917004,0.9923087188612099,0.6472115985986305
56,67,0.4575925925925927,0.2492857142857154,0.21428571428571427,1.0,0.8714285714285709,0.9993303571428572,0.6319871582892417
57,68,0.5888551165146909,0.2990476190476194,0.9047619047619048,1.0,0.6750000000000005,0.8779761904761905,0.7242734718000677
58,69,0.355783242258652,0.2749999999999999,0.5808823529411765,0.998686974789916,0.6832107843137255,0.9522058823529412,0.6409615394427352
59,72,0.3788121259432734,0.2782608695652185,0.4975382517800333,0.9995933155871044,0.8879399585921327,0.9700116459627328,0.6686926945717492
60,73,0.2,0.228,0.1,1.0,0.5616666666666668,1.0,0.5149444444444445
61,74,0.25,0.21721854304635727,0.15894039735099338,1.0,0.6777041942604851,0.9602649006622516,0.5440213392200145
62,75,0.4,0.1955056179775286,0.05617977528089888,1.0,0.5898876404494393,0.9794007490636704,0.5368289637952561
63,76,0.8175438596491227,0.21826280623608166,0.5389755011135857,0.9998409163219854,0.9506310319227916,0.9233052616926504,0.7414265628227028
64,77,0.4358585858585859,0.2813008130081297,0.4715447154471545,1.0,0.9017615176151752,0.9189532520325204,0.6682364806602609
65,78,0.4757575757575757,0.22241379310344786,0.19827586206896552,0.9991789819376028,0.7471264367816094,0.9507004310344828,0.598908846780614
66,79,0.5208333333333334,0.2190476190476201,0.0992063492063492,1.0,0.8382936507936507,0.9698040674603174,0.6078641699735452
67,80,0.4590909090909092,0.08571428571428574,1.0,1.0,0.9897959183673469,0.8875,0.7370168521954237
